identifier,series,control_symbol,title,contents_date_str,contents_start_date,contents_end_date,location,access_status,access_decision_date_str,access_decision_date,reasons,harvest_year,current_status,current_barcode,current_decision_date
32407079,M880,579,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the Opposition period - 'R'],1989 - 1993,1989-01-01,1993-01-01,Canberra,Closed,20 Nov 2018,2018-11-20,Closed period,2019,Open,,2020-10-19
32407080,M880,579A,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the Opposition period - 'R'],1989 - 1993,1989-01-01,1993-01-01,Canberra,Closed,21 Nov 2018,2018-11-21,Closed period,2019,Open,,2020-08-27
32407081,M880,579B,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'S']",1990 - 1993,1990-01-01,1993-01-01,Canberra,Closed,23 Oct 2018,2018-10-23,Closed period,2019,Open,,2020-08-27
32407082,M880,579C,[Correspondence relating to the Shadow Ministry maintained by Hon John Howard during the Opposition period - 'S'],1989 - 1992,1989-01-01,1992-01-01,Canberra,Closed,31 Oct 2018,2018-10-31,Closed period,2019,Open,,2020-08-27
32407083,M880,579D,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'S']",1990 - 1993,1990-01-01,1993-01-01,Canberra,Closed,24 Oct 2018,2018-10-24,Closed period,2019,Open,,2020-10-19
32407084,M880,579E,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'T']",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,24 Oct 2018,2018-10-24,Closed period,2019,Open,,2020-08-27
32407085,M880,579F,"[Correspondence relating to the Shadow Ministry maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'W']",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,24 Oct 2018,2018-10-24,Closed period,2019,Open,,2020-10-19
32407086,M880,580,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'A']",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,17 Oct 2018,2018-10-17,Closed period,2019,Open,,2020-09-16
32407087,M880,580A,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'A']",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,17 Oct 2018,2018-10-17,Closed period,2019,Open,,2020-08-27
32407088,M880,580B,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'A']",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,17 Oct 2018,2018-10-17,Closed period,2019,Open,,2020-08-27
32407089,M880,580C,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'A']",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,17 Oct 2018,2018-10-17,Closed period,2019,Open,,2020-08-27
32407090,M880,580D,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'A']",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,17 Oct 2018,2018-10-17,Closed period,2019,Open,,2020-10-19
32407091,M880,580E,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'A']",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,17 Oct 2018,2018-10-17,Closed period,2019,Open,,2020-08-27
32407092,M880,580F,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'A']",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,23 Oct 2018,2018-10-23,Closed period,2019,Open with exception,,2020-09-15
32407093,M880,581,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training] Aust",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,17 Oct 2018,2018-10-17,Closed period,2019,Open,,2020-10-19
32407094,M880,581A,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training] AGL [The Australian Gas Light Company]",1990 - 1992,1990-01-01,1992-01-01,Canberra,Closed,17 Oct 2018,2018-10-17,Closed period,2019,Open,,2020-08-27
32407095,M880,581B,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training] AGL [The Australian Gas Light Company]",1990 - 1990,1990-01-01,1990-01-01,Canberra,Closed,23 Oct 2018,2018-10-23,Closed period,2019,Open,,2020-08-27
32407096,M880,581C,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - Amarda/Mera]",1990 - 1990,1990-01-01,1990-01-01,Canberra,Closed,23 Oct 2018,2018-10-23,Closed period,2019,Open,,2020-08-27
32407097,M880,581D,"[Correspondence relating to abortion, maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training]",1991 - 1992,1991-01-01,1992-01-01,Canberra,Closed,31 Oct 2018,2018-10-31,Closed period,2019,Open,,2020-08-27
32407098,M880,581E,[Correspondence relating to the Australian Petroleum Exploration Association Limited maintained by Hon John Howard during the Opposition period],1989 - 1991,1989-01-01,1991-01-01,Canberra,Closed,31 Oct 2018,2018-10-31,Closed period,2019,Open,,2020-08-27
32407099,M880,582,"[Correspondence maintained by Hon John Howard in his capacity as Shadow Minister for Industrial Relations, Employment and Training - 'B']",1992 - 1992,1992-01-01,1992-01-01,Canberra,Closed,23 Oct 2018,2018-10-23,Closed period,2019,Open,,2020-08-27
